username,skill,experience,level,rank,time_retrieved
Dash 2,Ranged,31841595,108,96747,2024-11-15 03:11:50
Dash 2,Prayer,105167850,120,20158,2024-11-15 03:11:50
Dash 2,Magic,42832430,111,82791,2024-11-15 03:11:50
Dash 2,Cooking,37226278,109,34334,2024-11-15 03:11:50
Dash 2,Woodcutting,105329550,120,18300,2024-11-15 03:11:50
Dash 2,Fletching,20207491,103,54762,2024-11-15 03:11:50
Dash 2,Fishing,106297828,120,24648,2024-11-15 03:11:50
Dash 2,Firemaking,105705800,120,23102,2024-11-15 03:11:50
Dash 2,Crafting,74455109,116,24066,2024-11-15 03:11:50
Dash 2,Smithing,104282982,120,25685,2024-11-15 03:11:50
Dash 2,Mining,104963329,120,29243,2024-11-15 03:11:50
Dash 2,Herblore,107004735,120,60561,2024-11-15 03:11:50
Dash 2,Agility,105261654,120,24272,2024-11-15 03:11:50
Dash 2,Thieving,105631495,120,27733,2024-11-15 03:11:50
Dash 2,Slayer,114745696,120,43860,2024-11-15 03:11:50
Dash 2,Farming,123529873,120,43593,2024-11-15 03:11:50
Dash 2,Runecrafting,104405271,120,21333,2024-11-15 03:11:50
Dash 2,Hunter,107377251,120,19296,2024-11-15 03:11:50
Dash 2,Construction,104398507,120,19962,2024-11-15 03:11:50
Dash 2,Summoning,104805176,120,23661,2024-11-15 03:11:50
Dash 2,Dungeoneering,106260307,120,56512,2024-11-15 03:11:50
Dash 2,Divination,104966606,120,18784,2024-11-15 03:11:50
Dash 2,Invention,195375441,150,36880,2024-11-15 03:11:50
Dash 2,Archaeology,106175030,120,73809,2024-11-15 03:11:50
Dash 2,Necromancy,113870444,120,29815,2024-11-15 03:11:50
Titan Rex,Overall,262709682,2662,195814,2024-11-15 03:11:50
Titan Rex,Attack,2213925,81,430026,2024-11-15 03:11:50
Titan Rex,Defence,13317280,99,246493,2024-11-15 03:11:50
Titan Rex,Strength,2281444,81,455530,2024-11-15 03:11:50
Titan Rex,Constitution,10970914,97,317445,2024-11-15 03:11:50
Titan Rex,Ranged,3162072,84,371487,2024-11-15 03:11:50
Titan Rex,Prayer,13162094,99,224373,2024-11-15 03:11:50
Titan Rex,Magic,2133778,80,454908,2024-11-15 03:11:50
Titan Rex,Cooking,5563689,90,288549,2024-11-15 03:11:50
Titan Rex,Woodcutting,4273122,87,322749,2024-11-15 03:11:50
Titan Rex,Fletching,13149266,99,204705,2024-11-15 03:11:50
Titan Rex,Fishing,4325545,87,285108,2024-11-15 03:11:50
Titan Rex,Firemaking,3735874,86,329261,2024-11-15 03:11:50
Titan Rex,Crafting,13219364,99,193428,2024-11-15 03:11:50
Titan Rex,Smithing,14101038,99,164598,2024-11-15 03:11:50
Titan Rex,Mining,11302438,97,238374,2024-11-15 03:11:50
Titan Rex,Herblore,26949321,106,134542,2024-11-15 03:11:50
Titan Rex,Agility,13477087,99,177825,2024-11-15 03:11:50
Titan Rex,Thieving,5687659,90,227543,2024-11-15 03:11:50
Titan Rex,Slayer,15865362,100,180300,2024-11-15 03:11:50
Titan Rex,Farming,6207931,91,222934,2024-11-15 03:11:50
Titan Rex,Runecrafting,5350417,90,220918,2024-11-15 03:11:50
Titan Rex,Hunter,3617984,86,244324,2024-11-15 03:11:50
Titan Rex,Construction,6695249,92,220253,2024-11-15 03:11:50
Titan Rex,Summoning,4544945,88,270294,2024-11-15 03:11:50
Titan Rex,Dungeoneering,2137957,80,325577,2024-11-15 03:11:50
Titan Rex,Divination,6474121,91,217888,2024-11-15 03:11:50
Titan Rex,Invention,19296982,85,205592,2024-11-15 03:11:50
Titan Rex,Archaeology,9818367,96,175882,2024-11-15 03:11:50
Titan Rex,Necromancy,19674457,103,102860,2024-11-15 03:11:50
Mrs Zahzr,Overall,3481772,885,794112,2024-11-15 03:11:50
Mrs Zahzr,Attack,8406,25,1225376,2024-11-15 03:11:50
Mrs Zahzr,Defence,13727,30,1145327,2024-11-15 03:11:50
Mrs Zahzr,Strength,8131,25,1214311,2024-11-15 03:11:50
Mrs Zahzr,Constitution,33661,39,1095591,2024-11-15 03:11:50
Mrs Zahzr,Ranged,0,1,0,2024-11-15 03:11:50
Mrs Zahzr,Prayer,869867,71,433561,2024-11-15 03:11:50
Mrs Zahzr,Magic,0,1,0,2024-11-15 03:11:50
Mrs Zahzr,Cooking,5943,22,1141595,2024-11-15 03:11:50
Mrs Zahzr,Woodcutting,9262,26,1181007,2024-11-15 03:11:50
Mrs Zahzr,Fletching,12246,29,816914,2024-11-15 03:11:50
Mrs Zahzr,Fishing,39028,40,909660,2024-11-15 03:11:50
Mrs Zahzr,Firemaking,792746,70,493198,2024-11-15 03:11:50
Mrs Zahzr,Crafting,577437,67,499290,2024-11-15 03:11:50
Mrs Zahzr,Smithing,13001,29,1102712,2024-11-15 03:11:50
Mrs Zahzr,Mining,467910,65,584245,2024-11-15 03:11:50
Mrs Zahzr,Herblore,31929,38,619816,2024-11-15 03:11:50
Mrs Zahzr,Agility,20334,34,731056,2024-11-15 03:11:50
Mrs Zahzr,Thieving,101571,50,573275,2024-11-15 03:11:50
Mrs Zahzr,Slayer,3334,17,809108,2024-11-15 03:11:50
Mrs Zahzr,Farming,0,1,0,2024-11-15 03:11:50
Mrs Zahzr,Runecrafting,0,1,0,2024-11-15 03:11:50
Mrs Zahzr,Hunter,0,1,0,2024-11-15 03:11:50
Mrs Zahzr,Construction,0,1,0,2024-11-15 03:11:50
Mrs Zahzr,Summoning,17399,32,561711,2024-11-15 03:11:50
Mrs Zahzr,Dungeoneering,0,1,0,2024-11-15 03:11:50
Mrs Zahzr,Divination,0,1,0,2024-11-15 03:11:50
Mrs Zahzr,Invention,0,0,0,2024-11-15 03:11:50
Mrs Zahzr,Archaeology,349492,62,275736,2024-11-15 03:11:50
Mrs Zahzr,Necromancy,98689,49,234337,2024-11-15 03:11:50
Kicap,Overall,374274086,2794,158734,2024-11-15 03:11:50
Kicap,Attack,13038057,99,269986,2024-11-15 03:11:50
Kicap,Defence,13186506,99,258270,2024-11-15 03:11:50
Kicap,Strength,13289870,99,240446,2024-11-15 03:11:50
Kicap,Constitution,28540408,106,171324,2024-11-15 03:11:50
Kicap,Ranged,14100295,99,204129,2024-11-15 03:11:50
Kicap,Prayer,13769711,99,175971,2024-11-15 03:11:50
Kicap,Magic,14875371,100,200149,2024-11-15 03:11:50
Kicap,Cooking,13298603,99,198568,2024-11-15 03:11:50
Kicap,Woodcutting,14996973,100,135344,2024-11-15 03:11:50
Kicap,Fletching,13350732,99,175323,2024-11-15 03:11:50
Kicap,Fishing,13046136,99,220350,2024-11-15 03:11:50
Kicap,Firemaking,14471621,100,151315,2024-11-15 03:11:50
Kicap,Crafting,13073504,99,209706,2024-11-15 03:11:50
Kicap,Smithing,13237134,99,215065,2024-11-15 03:11:50
Kicap,Mining,13103476,99,225216,2024-11-15 03:11:50
Kicap,Herblore,13182843,99,240191,2024-11-15 03:11:50
Kicap,Agility,13078174,99,203066,2024-11-15 03:11:50
Kicap,Thieving,2779123,83,257923,2024-11-15 03:11:50
Kicap,Slayer,13035411,99,229726,2024-11-15 03:11:50
Kicap,Farming,13215402,99,192338,2024-11-15 03:11:50
Kicap,Runecrafting,2786139,83,246670,2024-11-15 03:11:50
Kicap,Hunter,2775463,83,258361,2024-11-15 03:11:50
Kicap,Construction,13232259,99,177695,2024-11-15 03:11:50
Kicap,Summoning,13312838,99,177022,2024-11-15 03:11:50
Kicap,Dungeoneering,3594796,85,278687,2024-11-15 03:11:50
Kicap,Divination,13131800,99,179729,2024-11-15 03:11:50
Kicap,Invention,18276883,84,207596,2024-11-15 03:11:50
Kicap,Archaeology,7638424,93,181442,2024-11-15 03:11:50
Kicap,Necromancy,24856134,105,92429,2024-11-15 03:11:50
Torvar95,Overall,188244388,2447,251414,2024-11-15 03:11:50
Torvar95,Attack,2772448,83,402469,2024-11-15 03:11:50
Torvar95,Defence,13036800,99,290380,2024-11-15 03:11:50
Torvar95,Strength,2870669,83,427720,2024-11-15 03:11:50
Torvar95,Constitution,11105089,97,316169,2024-11-15 03:11:50
Torvar95,Ranged,2152623,80,410683,2024-11-15 03:11:50
Torvar95,Prayer,3177374,84,348528,2024-11-15 03:11:50
Torvar95,Magic,2341504,81,444010,2024-11-15 03:11:50
Torvar95,Cooking,1125793,74,438457,2024-11-15 03:11:50
Torvar95,Woodcutting,1072335,73,539334,2024-11-15 03:11:50
Torvar95,Fletching,737650,70,500801,2024-11-15 03:11:50
Torvar95,Fishing,2007237,80,361948,2024-11-15 03:11:50
Torvar95,Firemaking,803052,70,491695,2024-11-15 03:11:50
Torvar95,Crafting,3308979,85,308152,2024-11-15 03:11:50
Torvar95,Smithing,20866535,103,79334,2024-11-15 03:11:50
Torvar95,Mining,17132028,101,139037,2024-11-15 03:11:50
Torvar95,Herblore,13037427,99,258428,2024-11-15 03:11:50
Torvar95,Agility,13044934,99,206453,2024-11-15 03:11:50
Torvar95,Thieving,851588,71,338046,2024-11-15 03:11:50
Torvar95,Slayer,4399507,88,295879,2024-11-15 03:11:50
Torvar95,Farming,1990125,80,277948,2024-11-15 03:11:50
Torvar95,Runecrafting,964036,72,319166,2024-11-15 03:11:50
Torvar95,Hunter,761827,70,360230,2024-11-15 03:11:50
Torvar95,Construction,926134,72,379801,2024-11-15 03:11:50
Torvar95,Summoning,2359351,81,300577,2024-11-15 03:11:50
Torvar95,Dungeoneering,1941811,79,337874,2024-11-15 03:11:50
Torvar95,Divination,2435457,82,288933,2024-11-15 03:11:50
Torvar95,Invention,20323402,86,203619,2024-11-15 03:11:50
Torvar95,Archaeology,13264700,99,163181,2024-11-15 03:11:50
Torvar95,Necromancy,27433973,106,88386,2024-11-15 03:11:50
Fiss,Overall,4528534256,3040,7422,2024-11-15 03:11:50
Fiss,Attack,200000000,120,496,2024-11-15 03:11:50
Fiss,Defence,200000000,120,747,2024-11-15 03:11:50
Fiss,Strength,200000000,120,8732,2024-11-15 03:11:50
Fiss,Constitution,200000000,120,329,2024-11-15 03:11:50
Fiss,Ranged,200000000,120,382,2024-11-15 03:11:50
Fiss,Prayer,105172226,120,20149,2024-11-15 03:11:50
Fiss,Magic,200000000,120,259,2024-11-15 03:11:50
Fiss,Cooking,105587592,120,14954,2024-11-15 03:11:50
Fiss,Woodcutting,119086361,120,11781,2024-11-15 03:11:50
Fiss,Fletching,105963503,120,13735,2024-11-15 03:11:50
Fiss,Fishing,144411949,120,11421,2024-11-15 03:11:50
Fiss,Firemaking,200000000,120,1021,2024-11-15 03:11:50
Fiss,Crafting,106662990,120,15087,2024-11-15 03:11:50
Fiss,Smithing,105937043,120,18097,2024-11-15 03:11:50
Fiss,Mining,108506380,120,23670,2024-11-15 03:11:50
Fiss,Herblore,200000000,120,11044,2024-11-15 03:11:50
Fiss,Agility,200000000,120,8202,2024-11-15 03:11:50
Fiss,Thieving,129065575,120,15673,2024-11-15 03:11:50
Fiss,Slayer,200000000,120,10006,2024-11-15 03:11:50
Fiss,Farming,107620045,120,62613,2024-11-15 03:11:50
Fiss,Runecrafting,116127466,120,11731,2024-11-15 03:11:50
Fiss,Hunter,136318487,120,10951,2024-11-15 03:11:50
Fiss,Construction,105766339,120,16823,2024-11-15 03:11:50
Fiss,Summoning,200000000,120,288,2024-11-15 03:11:50
Fiss,Dungeoneering,179078364,120,16462,2024-11-15 03:11:50
Fiss,Divination,108670705,120,14275,2024-11-15 03:11:50
Fiss,Invention,200000000,150,1791,2024-11-15 03:11:50
Fiss,Archaeology,200000000,120,16418,2024-11-15 03:11:50
Fiss,Necromancy,144559231,120,18711,2024-11-15 03:11:50
bittycoins,Overall,1008383132,2998,62432,2024-11-15 03:11:50
bittycoins,Attack,13485882,99,209711,2024-11-15 03:11:50
bittycoins,Defence,13144817,99,263672,2024-11-15 03:11:50
bittycoins,Strength,31851071,108,75134,2024-11-15 03:11:50
bittycoins,Constitution,48372574,112,113141,2024-11-15 03:11:50
bittycoins,Ranged,20982011,103,132806,2024-11-15 03:11:50
bittycoins,Prayer,13656259,99,183021,2024-11-15 03:11:50
bittycoins,Magic,14109758,99,220063,2024-11-15 03:11:50
bittycoins,Cooking,13109468,99,226439,2024-11-15 03:11:50
bittycoins,Woodcutting,13654881,99,183138,2024-11-15 03:11:50
bittycoins,Fletching,13079802,99,220936,2024-11-15 03:11:50
bittycoins,Fishing,13118249,99,212725,2024-11-15 03:11:50
bittycoins,Firemaking,14315547,99,156366,2024-11-15 03:11:50
bittycoins,Crafting,13573879,99,170983,2024-11-15 03:11:50
bittycoins,Smithing,38882724,110,47535,2024-11-15 03:11:50
bittycoins,Mining,52326365,113,47115,2024-11-15 03:11:50
bittycoins,Herblore,105563675,120,69482,2024-11-15 03:11:50
bittycoins,Agility,16895808,101,105231,2024-11-15 03:11:50
bittycoins,Thieving,13108382,99,194518,2024-11-15 03:11:50
bittycoins,Slayer,104429796,120,72102,2024-11-15 03:11:50
bittycoins,Farming,13579583,99,182670,2024-11-15 03:11:50
bittycoins,Runecrafting,13331354,99,146391,2024-11-15 03:11:50
