username,skill,experience,level,rank,time_retrieved
Mrs Zahzr,Smithing,13001,29,1102704,2024-11-15 03:03:56
Mrs Zahzr,Mining,467910,65,584236,2024-11-15 03:03:56
Mrs Zahzr,Herblore,31929,38,619812,2024-11-15 03:03:56
Mrs Zahzr,Agility,20334,34,731046,2024-11-15 03:03:56
Mrs Zahzr,Thieving,101571,50,573269,2024-11-15 03:03:56
Mrs Zahzr,Slayer,3334,17,809097,2024-11-15 03:03:56
Mrs Zahzr,Farming,0,1,0,2024-11-15 03:03:56
Mrs Zahzr,Runecrafting,0,1,0,2024-11-15 03:03:56
Mrs Zahzr,Hunter,0,1,0,2024-11-15 03:03:56
Mrs Zahzr,Construction,0,1,0,2024-11-15 03:03:56
Mrs Zahzr,Summoning,17399,32,561704,2024-11-15 03:03:56
Mrs Zahzr,Dungeoneering,0,1,0,2024-11-15 03:03:56
Mrs Zahzr,Divination,0,1,0,2024-11-15 03:03:56
Mrs Zahzr,Invention,0,0,0,2024-11-15 03:03:56
Mrs Zahzr,Archaeology,349492,62,275733,2024-11-15 03:03:56
Mrs Zahzr,Necromancy,98689,49,234328,2024-11-15 03:03:56
Kicap,Overall,374274086,2794,158731,2024-11-15 03:03:56
Kicap,Attack,13038057,99,269983,2024-11-15 03:03:56
Kicap,Defence,13186506,99,258266,2024-11-15 03:03:56
Kicap,Strength,13289870,99,240443,2024-11-15 03:03:56
Kicap,Constitution,28540408,106,171322,2024-11-15 03:03:56
Kicap,Ranged,14100295,99,204127,2024-11-15 03:03:56
Kicap,Prayer,13769711,99,175968,2024-11-15 03:03:56
Kicap,Magic,14875371,100,200146,2024-11-15 03:03:56
Kicap,Cooking,13298603,99,198566,2024-11-15 03:03:56
Kicap,Woodcutting,14996973,100,135342,2024-11-15 03:03:56
Kicap,Fletching,13350732,99,175321,2024-11-15 03:03:56
Kicap,Fishing,13046136,99,220347,2024-11-15 03:03:56
Kicap,Firemaking,14471621,100,151313,2024-11-15 03:03:56
Kicap,Crafting,13073504,99,209703,2024-11-15 03:03:56
Kicap,Smithing,13237134,99,215060,2024-11-15 03:03:56
Kicap,Mining,13103476,99,225211,2024-11-15 03:03:56
Kicap,Herblore,13182843,99,240188,2024-11-15 03:03:56
Kicap,Agility,13078174,99,203063,2024-11-15 03:03:56
Kicap,Thieving,2779123,83,257920,2024-11-15 03:03:56
Kicap,Slayer,13035411,99,229723,2024-11-15 03:03:56
Kicap,Farming,13215402,99,192335,2024-11-15 03:03:56
Kicap,Runecrafting,2786139,83,246667,2024-11-15 03:03:56
Kicap,Hunter,2775463,83,258356,2024-11-15 03:03:56
Kicap,Construction,13232259,99,177692,2024-11-15 03:03:56
Kicap,Summoning,13312838,99,177020,2024-11-15 03:03:56
Kicap,Dungeoneering,3594796,85,278684,2024-11-15 03:03:56
Kicap,Divination,13131800,99,179726,2024-11-15 03:03:56
Kicap,Invention,18276883,84,207593,2024-11-15 03:03:56
Kicap,Archaeology,7638424,93,181440,2024-11-15 03:03:56
Kicap,Necromancy,24856134,105,92427,2024-11-15 03:03:56
Torvar95,Overall,188244388,2447,251411,2024-11-15 03:03:56
Torvar95,Attack,2772448,83,402465,2024-11-15 03:03:56
Torvar95,Defence,13036800,99,290374,2024-11-15 03:03:56
Torvar95,Strength,2870669,83,427716,2024-11-15 03:03:56
Torvar95,Constitution,11105089,97,316165,2024-11-15 03:03:56
Torvar95,Ranged,2152623,80,410680,2024-11-15 03:03:56
Torvar95,Prayer,3177374,84,348524,2024-11-15 03:03:56
Torvar95,Magic,2341504,81,444006,2024-11-15 03:03:56
Torvar95,Cooking,1125793,74,438454,2024-11-15 03:03:56
Torvar95,Woodcutting,1072335,73,539328,2024-11-15 03:03:56
